timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559816888091,478,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,478,0,0
1559816888161,481,HTTP Request,200,OK,Thread Group 1-9,text,true,,169,127,3,3,http://localhost:8080/test/charger,481,0,1
1559816888213,467,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,2,2,http://localhost:8080/test/charger,466,0,1
1559816888570,511,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,2,2,http://localhost:8080/test/charger,511,0,0
1559816888680,462,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,2,2,http://localhost:8080/test/charger,462,0,1
1559816889081,437,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,2,2,http://localhost:8080/test/charger,437,0,1
1559816889143,443,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,2,2,http://localhost:8080/test/charger,443,0,1
1559816889518,435,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,435,0,1
1559816889586,472,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,3,3,http://localhost:8080/test/charger,472,0,1
1559816889789,477,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,3,3,http://localhost:8080/test/charger,477,0,1
1559816889953,446,HTTP Request,200,OK,Thread Group 1-10,text,true,,169,127,3,3,http://localhost:8080/test/charger,446,0,1
1559816890059,442,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,2,2,http://localhost:8080/test/charger,442,0,0
1559816890266,437,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,2,2,http://localhost:8080/test/charger,437,0,1
1559816890703,443,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,2,2,http://localhost:8080/test/charger,443,0,1
1559816890502,989,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,2,2,http://localhost:8080/test/charger,989,0,1
1559816891146,427,HTTP Request,200,OK,Thread Group 1-12,text,true,,169,127,2,2,http://localhost:8080/test/charger,427,0,1
1559816891492,431,HTTP Request,200,OK,Thread Group 1-11,text,true,,169,127,3,3,http://localhost:8080/test/charger,431,0,0
